repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59176,closed,True,2025-03-07T06:02:38Z,2025-03-07T09:46:53Z,4,4,1,1069,3,0,2
freeCodeCamp/freeCodeCamp,59174,closed,True,2025-03-06T22:42:01Z,2025-03-07T12:14:47Z,3,4,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59172,closed,True,2025-03-06T21:01:25Z,2025-03-07T12:20:04Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59170,closed,True,2025-03-06T20:21:29Z,2025-03-07T13:14:20Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59169,closed,True,2025-03-06T19:43:51Z,2025-03-10T23:52:04Z,451,1,5,553,0,8,2
freeCodeCamp/freeCodeCamp,59168,closed,True,2025-03-06T18:38:13Z,2025-03-31T15:33:54Z,1,1,1,750,3,0,2
freeCodeCamp/freeCodeCamp,59166,closed,True,2025-03-06T18:03:05Z,2025-03-07T02:16:52Z,1,1,1,568,0,4,3
freeCodeCamp/freeCodeCamp,59164,closed,True,2025-03-06T13:56:15Z,2025-03-08T15:17:03Z,2,2,2,858,1,0,2
freeCodeCamp/freeCodeCamp,59163,closed,True,2025-03-06T11:52:30Z,2025-03-07T11:15:56Z,2,1,1,1031,1,0,2
freeCodeCamp/freeCodeCamp,59161,closed,True,2025-03-06T11:24:00Z,2025-03-07T22:42:46Z,21,30,1,1032,2,0,2
freeCodeCamp/freeCodeCamp,59160,closed,True,2025-03-06T11:10:41Z,2025-04-01T20:46:57Z,13,12,1,830,0,1,2
freeCodeCamp/freeCodeCamp,59159,closed,True,2025-03-06T10:46:09Z,2025-03-25T02:05:32Z,8,0,1,737,0,0,2
freeCodeCamp/freeCodeCamp,59156,closed,True,2025-03-06T01:02:36Z,2025-03-06T12:03:21Z,1,1,1,750,0,0,2
